"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0400300","rifin","IDA","PMID:25751816","N/A","PF3D7_0400300.1"
"PF3D7_0400500","rifin","IDA","PMID:25751816","N/A","PF3D7_0400500.1"
"PF3D7_0400700","rifin","IDA","PMID:25751816","N/A","PF3D7_0400700.1"
"PF3D7_0400800","stevor","N/A","N/A","N/A","PF3D7_0400800.1"
"PF3D7_0400900","rifin","IDA","PMID:25751816","N/A","PF3D7_0400900.1"
"PF3D7_0401000","rifin","IDA","PMID:10430943","N/A","PF3D7_0401000.1"
"PF3D7_0401200","rifin","IDA","PMID:25751816","N/A","PF3D7_0401200.1"
"PF3D7_0401300","rifin","IDA","PMID:25751816","N/A","PF3D7_0401300.1"
"PF3D7_0401400","rifin","IDA","PMID:25751816","N/A","PF3D7_0401400.1"
"PF3D7_0401500","stevor, pseudogene","N/A","N/A","N/A","PF3D7_0401500.1"
"PF3D7_0401600","rifin","N/A","N/A","N/A","PF3D7_0401600.1, PF3D7_0401600.2"
"PF3D7_0402400","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0402400.1"
"PF3D7_0402500","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0402500.1"
"PF3D7_0402600","stevor","N/A","N/A","N/A","PF3D7_0402600.1"
"PF3D7_0410000","erythrocyte vesicle protein 1","IDA","PMID:18688278","N/A","PF3D7_0410000.1"
"PF3D7_0413200","rifin","IDA","PMID:25751816","N/A","PF3D7_0413200.1"
"PF3D7_0413300","rifin","IDA","PMID:25751816","N/A","PF3D7_0413300.1"
"PF3D7_0421200","rifin","IDA","PMID:10430943","N/A","PF3D7_0421200.1"
"PF3D7_0421500","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0421500.1"
"PF3D7_0424600","Plasmodium exported protein (PHISTb)","IDA","PMID:18614010","N/A","PF3D7_0424600.1"
"PF3D7_0425100","Plasmodium exported protein (hyp6), unknown function","RCA","PMID:16507167","N/A","PF3D7_0425100.1"
"PF3D7_0425500","stevor","N/A","N/A","N/A","PF3D7_0425500.1"
"PF3D7_0425700","rifin","IDA","PMID:25751816","N/A","PF3D7_0425700.1"
"PF3D7_0425900","rifin","IDA","PMID:25751816","N/A","PF3D7_0425900.1"
"PF3D7_0500300","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0500300.1"
"PF3D7_0500800","mature parasite-infected erythrocyte surface antigen","IDA","PMID:3065643","N/A","PF3D7_0500800.1"
"PF3D7_0501000","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0501000.1"
"PF3D7_0501100","co-chaperone J domain protein JDP","IDA","PMID:33236291","N/A","PF3D7_0501100.1"
"PF3D7_0501100","heat shock protein 40, type II","N/A","N/A","N/A","PF3D7_0501100.2"
"PF3D7_0501200","parasite-infected erythrocyte surface protein","IDA","PMID:15287581","N/A","PF3D7_0501200.1"
"PF3D7_0532500","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0532500.1"
"PF3D7_0532600","Plasmodium exported protein, unknown function","IDA","PMID:15591203","N/A","PF3D7_0532600.1"
"PF3D7_0532900","rifin","IDA","PMID:25751816","N/A","PF3D7_0532900.1"
"PF3D7_0600300","rifin","IDA","PMID:25751816","N/A","PF3D7_0600300.1"
"PF3D7_0600500","rifin","IDA","PMID:25751816","N/A","PF3D7_0600500.1"
"PF3D7_0600700","rifin","IDA","PMID:25751816","N/A","PF3D7_0600700.1"
"PF3D7_0601700","Plasmodium exported protein (PHISTa), unknown function, pseudogene","N/A","N/A","N/A","PF3D7_0601700.1"
